Mali,country,,COUNTRY,,
Gao,region,1,REGION,Mali,
Ansongo,cercle,2,CERCLE,Gao,
Ansongo,commune,3,COMMUNE,Ansongo,
Bara,commune,3,COMMUNE,Ansongo,
Bourra,commune,3,COMMUNE,Ansongo,
Ouattagouna,commune,3,COMMUNE,Ansongo,
Talataye,commune,3,COMMUNE,Ansongo,
Tessit,commune,3,COMMUNE,Ansongo,
Tin Hama,commune,3,COMMUNE,Ansongo,
Bourem,cercle,2,CERCLE,Gao,
Bamba,commune,11,COMMUNE,Bourem,
Bourem,commune,11,COMMUNE,Bourem,
Taboye,commune,11,COMMUNE,Bourem,
Tarkint,commune,11,COMMUNE,Bourem,
Temera,commune,11,COMMUNE,Bourem,
Gao,cercle,2,CERCLE,Gao,
Anchawadi,commune,17,COMMUNE,Gao,
Gabero,commune,17,COMMUNE,Gao,
Gao,commune,17,COMMUNE,Gao,
Gounzoureye,commune,17,COMMUNE,Gao,
N'tillit,commune,17,COMMUNE,Gao,
Sony Aliber,commune,17,COMMUNE,Gao,
Tilemsi,commune,17,COMMUNE,Gao,
Ménaka,cercle,,CERCLE,Gao,
Alata,commune,25,COMMUNE,Ménaka,
AlataAnderamboukane,commune,25,COMMUNE,Ménaka,
Inekar,commune,25,COMMUNE,Ménaka,
Menaka,commune,25,COMMUNE,Ménaka,
Tidermene,commune,25,COMMUNE,Ménaka,
Kayes,region,1,REGION,Mali,
Bafoulabé,cercle,31,CERCLE,Kayes,
Bafoulabé,commune,32,COMMUNE,Bafoulabé,
Bamafelé,commune,32,COMMUNE,Bafoulabé,
Diakon,commune,32,COMMUNE,Bafoulabé,
Diallan,commune,32,COMMUNE,Bafoulabé,
Diokele,commune,32,COMMUNE,Bafoulabé,
Kontela,commune,32,COMMUNE,Bafoulabé,
Mahina,commune,32,COMMUNE,Bafoulabé,
Niambia,commune,32,COMMUNE,Bafoulabé,
Koundian,commune,32,COMMUNE,Bafoulabé,
Oualia,commune,32,COMMUNE,Bafoulabé,
Sidibela,commune,32,COMMUNE,Bafoulabé,
Tomora,commune,32,COMMUNE,Bafoulabé,
Diema,cercle,31,CERCLE,Kayes,
Bema,commune,45,COMMUNE,Diema,
Diangounté Camara,commune,45,COMMUNE,Diema,
Dianguirdé,commune,45,COMMUNE,Diema,
Diema,commune,45,COMMUNE,Diema,
Dieoura,commune,45,COMMUNE,Diema,
Dioumara,commune,45,COMMUNE,Diema,
Fassou Debe,commune,45,COMMUNE,Diema,
Fatao,commune,45,COMMUNE,Diema,
Gomitradougou,commune,45,COMMUNE,Diema,
Groumera,commune,45,COMMUNE,Diema,
Guedebine,commune,45,COMMUNE,Diema,
Lakamane,commune,45,COMMUNE,Diema,
Lambidou,commune,45,COMMUNE,Diema,
Madiga Sacko,commune,45,COMMUNE,Diema,
Sansankide,commune,45,COMMUNE,Diema,
Kayes,cercle,31,CERCLE,Kayes,
Bangassi,commune,61,COMMUNE,Kayes,
Diamou,commune,61,COMMUNE,Kayes,
Djélébou,commune,61,COMMUNE,Kayes,
Falémé,commune,61,COMMUNE,Kayes,
Fégui,commune,61,COMMUNE,Kayes,
Gory Gopela,commune,61,COMMUNE,Kayes,
Goumera,commune,61,COMMUNE,Kayes,
Guidimakan,commune,61,COMMUNE,Kayes,
Hawa Dembaya,commune,61,COMMUNE,Kayes,
Karakoro,commune,61,COMMUNE,Kayes,
Kayes,commune,61,COMMUNE,Kayes,
Kemene Tambo,commune,61,COMMUNE,Kayes,
Khouloum,commune,61,COMMUNE,Kayes,
Kolombine,commune,61,COMMUNE,Kayes,
Koussane,commune,61,COMMUNE,Kayes,
Liberte Dembaya,commune,61,COMMUNE,Kayes,
Logo,commune,61,COMMUNE,Kayes,
Marena Diombougou,commune,61,COMMUNE,Kayes,
Marintoumania,commune,61,COMMUNE,Kayes,
Sadiola,commune,61,COMMUNE,Kayes,
Sahel,commune,61,COMMUNE,Kayes,
Same Diomboma,commune,61,COMMUNE,Kayes,
Segala,commune,61,COMMUNE,Kayes,
Sero Diamanou,commune,61,COMMUNE,Kayes,
Somankidy,commune,61,COMMUNE,Kayes,
Tafacirga,commune,61,COMMUNE,Kayes,
Kenieba,cercle,31,CERCLE,Kayes,
Baye,commune,88,COMMUNE,Kenieba,
Dabia,commune,88,COMMUNE,Kenieba,
Dialafara,commune,88,COMMUNE,Kenieba,
Dombia,commune,88,COMMUNE,Kenieba,
Falea,commune,88,COMMUNE,Kenieba,
Faraba,commune,88,COMMUNE,Kenieba,
Guenegore,commune,88,COMMUNE,Kenieba,
Kassama,commune,88,COMMUNE,Kenieba,
Kenieba,commune,88,COMMUNE,Kenieba,
Kroukoto,commune,88,COMMUNE,Kenieba,
Sagalo,commune,88,COMMUNE,Kenieba,
Sitakily,commune,88,COMMUNE,Kenieba,
Kita,cercle,31,CERCLE,Kayes,
Badia,commune,101,COMMUNE,Kita,
Bendougouba,commune,101,COMMUNE,Kita,
Boudofo,commune,101,COMMUNE,Kita,
Bougarybaya,commune,101,COMMUNE,Kita,
Dindanko,commune,101,COMMUNE,Kita,
Djidian,commune,101,COMMUNE,Kita,
Djougoun,commune,101,COMMUNE,Kita,
Gadougou 1,commune,101,COMMUNE,Kita,
Gadougou 2,commune,101,COMMUNE,Kita,
Guemoukouraba,commune,101,COMMUNE,Kita,
Kassaro,commune,101,COMMUNE,Kita,
Kita,commune,101,COMMUNE,Kita,
Kita Nord,commune,101,COMMUNE,Kita,
Kita Ouest,commune,101,COMMUNE,Kita,
Kobri,commune,101,COMMUNE,Kita,
Kokofata,commune,101,COMMUNE,Kita,
Kotouba,commune,101,COMMUNE,Kita,
Koulou,commune,101,COMMUNE,Kita,
Kourounikoto,commune,101,COMMUNE,Kita,
Madina,commune,101,COMMUNE,Kita,
Makano,commune,101,COMMUNE,Kita,
Namala Guimba,commune,101,COMMUNE,Kita,
Niantanso,commune,101,COMMUNE,Kita,
Saboula,commune,101,COMMUNE,Kita,
Sebekoro,commune,101,COMMUNE,Kita,
Sefeto Nord,commune,101,COMMUNE,Kita,
Sefeto Ouest,commune,101,COMMUNE,Kita,
Senko,commune,101,COMMUNE,Kita,
Sirakoro,commune,101,COMMUNE,Kita,
Souransan Tomoto,commune,101,COMMUNE,Kita,
Tambaga,commune,101,COMMUNE,Kita,
Toukoto,commune,101,COMMUNE,Kita,
Nioro,cercle,31,CERCLE,Kayes,
Baniene Kore,commune,134,COMMUNE,Nioro,
Diabigue,commune,134,COMMUNE,Nioro,
Diarra,commune,134,COMMUNE,Nioro,
Diaye Coura,commune,134,COMMUNE,Nioro,
Gavinane,commune,134,COMMUNE,Nioro,
Gogui,commune,134,COMMUNE,Nioro,
Guetema,commune,134,COMMUNE,Nioro,
Kadiaba Kadiel,commune,134,COMMUNE,Nioro,
Korera Kore,commune,134,COMMUNE,Nioro,
Nioro,commune,134,COMMUNE,Nioro,
Nioro Tougoune Rangabe,commune,134,COMMUNE,Nioro,
Sandare,commune,134,COMMUNE,Nioro,
Simbi,commune,134,COMMUNE,Nioro,
Troungoumbe,commune,134,COMMUNE,Nioro,
Yerere,commune,134,COMMUNE,Nioro,
Youri,commune,134,COMMUNE,Nioro,
Yelimane,cercle,31,CERCLE,Kayes,
Diafounou Diongaga,commune,151,COMMUNE,Yelimane,
Diafounou Gory,commune,151,COMMUNE,Yelimane,
Fanga,commune,151,COMMUNE,Yelimane,
Gory,commune,151,COMMUNE,Yelimane,
Guidime,commune,151,COMMUNE,Yelimane,
Kirane Kaniaga,commune,151,COMMUNE,Yelimane,
Konsiga,commune,151,COMMUNE,Yelimane,
Kremis,commune,151,COMMUNE,Yelimane,
Marekaffo,commune,151,COMMUNE,Yelimane,
Soumpou,commune,151,COMMUNE,Yelimane,
Toya,commune,151,COMMUNE,Yelimane,
Tringa,commune,151,COMMUNE,Yelimane,
Kidal,region,1,REGION,Mali,
Abeibara,cercle,164,CERCLE,Kidal,
Abeibara,commune,165,COMMUNE,Abeibara,
Boghassa,commune,165,COMMUNE,Abeibara,
Tinzawatene,commune,165,COMMUNE,Abeibara,
Kidal,cercle,164,CERCLE,Kidal,
Anefif,commune,169,COMMUNE,Kidal,
Essouk,commune,169,COMMUNE,Kidal,
Kidal,commune,169,COMMUNE,Kidal,
Tessalit,cercle,164,CERCLE,Kidal,
Adjelhoc,commune,173,COMMUNE,Tessalit,
Tessalit,commune,173,COMMUNE,Tessalit,
Timtaghene,commune,173,COMMUNE,Tessalit,
Tin-Essako,cercle,164,CERCLE,Kidal,
Intedjédit,commune,177,COMMUNE,Tin-Essako,
Tin-Essako,commune,177,COMMUNE,Tin-Essako,
Koulikoro,region,1,REGION,Mali,
Banamba,cercle,180,CERCLE,Koulikoro,
Banamba,commune,181,COMMUNE,Banamba,
Benkadi,commune,181,COMMUNE,Banamba,
Boron,commune,181,COMMUNE,Banamba,
Duguwolowula,commune,181,COMMUNE,Banamba,
Kiban,commune,181,COMMUNE,Banamba,
Madina Sacko,commune,181,COMMUNE,Banamba,
Sebete,commune,181,COMMUNE,Banamba,
Toubacoro,commune,181,COMMUNE,Banamba,
Toukoroba,commune,181,COMMUNE,Banamba,
Dioila,cercle,180,CERCLE,Koulikoro,
Banco,commune,191,COMMUNE,Dioila,
Benkadi,commune,191,COMMUNE,Dioila,
Binko,commune,191,COMMUNE,Dioila,
Degnekoro,commune,191,COMMUNE,Dioila,
Diebe,commune,191,COMMUNE,Dioila,
Diédougou,commune,191,COMMUNE,Dioila,
Diouman,commune,191,COMMUNE,Dioila,
Dolendougou,commune,191,COMMUNE,Dioila,
Guegneka,commune,191,COMMUNE,Dioila,
Jekafo,commune,191,COMMUNE,Dioila,
Kaladougou,commune,191,COMMUNE,Dioila,
Kemekafo,commune,191,COMMUNE,Dioila,
Kerela,commune,191,COMMUNE,Dioila,
Kilidougou,commune,191,COMMUNE,Dioila,
Massigui,commune,191,COMMUNE,Dioila,
Nangola,commune,191,COMMUNE,Dioila,
N'dlondougou,commune,191,COMMUNE,Dioila,
N'garadougou,commune,191,COMMUNE,Dioila,
N'golobougou,commune,191,COMMUNE,Dioila,
Niantjila,commune,191,COMMUNE,Dioila,
Tenindougou,commune,191,COMMUNE,Dioila,
Wacoro,commune,191,COMMUNE,Dioila,
Zan Coulibaly,commune,191,COMMUNE,Dioila,
Kangaba,cercle,180,CERCLE,Koulikoro,
Balan Bakama,commune,215,COMMUNE,Kangaba,
Benkadi,commune,215,COMMUNE,Kangaba,
Kaniogo,commune,215,COMMUNE,Kangaba,
Karan,commune,215,COMMUNE,Kangaba,
Maramandougou,commune,215,COMMUNE,Kangaba,
Minidian,commune,215,COMMUNE,Kangaba,
Narena,commune,215,COMMUNE,Kangaba,
Nouga,commune,215,COMMUNE,Kangaba,
Kati,cercle,180,CERCLE,Koulikoro,
Baguineda-camp,commune,224,COMMUNE,Kati,
Bamako,commune,224,COMMUNE,Kati,
Bancoumana,commune,224,COMMUNE,Kati,
Bossofala,commune,224,COMMUNE,Kati,
Bougoula,commune,224,COMMUNE,Kati,
