REGION,CERCLE,ARRONDISSSEMENT,COMMUNE,VILLAGE,LAT,LONG
KIDAL,ABEIBARA,ABEIBARA,ABEIBARA,ABEIBARA,19.30000,1.83388
KIDAL,ABEIBARA,ABEIBARA,ABEIBARA,ALGERIE,19.71600,1.60271
KIDAL,ABEIBARA,ABEIBARA,ABEIBARA,IDNAN,19.45059,1.82956
KIDAL,ABEIBARA,ABEIBARA,ABEIBARA,IRA DIANATENE,19.74225,1.66692
KIDAL,ABEIBARA,ABEIBARA,ABEIBARA,KEL EZARER,19.45430,1.75416
KIDAL,ABEIBARA,ABEIBARA,ABEIBARA,KEL GALA,19.70868,1.88043
KIDAL,ABEIBARA,ABEIBARA,ABEIBARA,KEL KELA,19.77282,1.54159
KIDAL,ABEIBARA,ABEIBARA,ABEIBARA,KOUNTA,19.73263,1.67257
TOMBOUCTOU,GOUNDAM,GARGANDO,ADARMALANE,ADARMALLENE,16.65875,-4.19682
TOMBOUCTOU,GOUNDAM,GARGANDO,ADARMALANE,GOUMSAGO ET TINESSANI,16.65156,-4.14553
TOMBOUCTOU,GOUNDAM,GARGANDO,ADARMALANE,INATABEN,16.63759,-4.26275
TOMBOUCTOU,GOUNDAM,GARGANDO,ADARMALANE,INATABENE -KEL -ALPHAO,16.63034,-4.26397
TOMBOUCTOU,GOUNDAM,GARGANDO,ADARMALANE,ISSINSA,16.61989,-4.33179
TOMBOUCTOU,GOUNDAM,GARGANDO,ADARMALANE,TADJIDJIT,16.61803,-4.30825
TOMBOUCTOU,GOUNDAM,GARGANDO,ADARMALANE,TOURCHACHAMBOU,16.64939,-4.12914
TOMBOUCTOU,GOUNDAM,GARGANDO,ADARMALANE,ZIN-ZIN,16.61219,-4.36268
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,ACHERIFAN,19.46700,0.87111
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,AGUEL-HOC SEDENTAIRES,19.46700,0.87025
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,BOUREM,19.46700,0.87294
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,CHAMANAMAS,19.46700,0.87142
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,FORGERON,19.05043,0.62800
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,FORGERON,18.78310,0.48031
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,IBILBITIENE,19.46700,0.87208
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,IBOHANANE,19.05961,0.95570
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,IBOTANAT,19.00093,0.40840
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,IDABAGATENE,19.03135,0.77011
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,IDABAILALENE,19.07169,0.64271
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,IDNANE,18.93183,0.70864
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,IDOURAG,18.82974,0.49349
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,IFORAS KEL ABALEEK,18.94696,0.71755
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,IGDALENE,18.87493,0.38039
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,IMAKALKALNE,18.90985,0.86424
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,IMRAD KEL TALABOT,18.89082,0.75761
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,IMRAD WIN ELEWIDZE,19.04868,0.59398
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,INHERANE,18.92616,0.81125
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,IRAGANATENE,18.89230,0.69584
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,IZZIGARENE,18.94402,0.85314
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL  RALA TADJMART,19.11332,0.53459
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL  TOMBOUCTOU,19.07791,0.60278
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL ABALECK,18.69012,0.76252
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL AGACHAR,19.06019,0.68088
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL AIBALA,18.95521,0.36128
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL ALLEWAT,19.15406,0.74953
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL BABA SIDI MOUCTAR,18.90890,0.64469
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL BADY,18.80976,0.63759
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL BELLA,19.00754,0.98202
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL CHEICK SIDAGMAR,19.15350,0.72067
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL DIARENE,18.98280,0.72455
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL EFFELE,19.03995,0.44001
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL ESSOUK,19.25859,0.49649
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL FELLO  IDABAILALENE,18.88047,0.40233
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL GUETRAT,19.18889,0.81915
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL INSAR,19.21798,0.94954
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL RELLA TIBAGATENE,18.90978,0.73673
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL RELLA TIDJARIRINE WIN ATLA,18.81019,0.81035
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL TAIGACHATT,18.71864,0.70710
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL TERGERECH,19.04445,0.66584
KIDAL,TESSALIT,AGUEL-HOC,ADJELHOC,KEL TERGUETCH,19.12320,0.49581
